cost_generation,cost_redispatch,total_cost
54872.43378975243,-3873.440474423975,50998.99331532846
42957.93079163012,-4454.189170151593,38503.741621478526
29344.86307653093,-5162.219987336437,24182.643089194495
23311.634544847584,-5469.831860562181,17841.8026842854
17574.630759556716,-5665.452035732424,11909.178723824292
5481.233933980433,-4933.110426804511,548.123507175922
0.00013281382869707227,0.0,0.00013281382869707227
0.00013526809770608557,2.5430589947011755e-6,0.00013781115670078673
0.0001374346074458252,1.9226309537055352e-6,0.00013935723839953072
0.00015422386793917273,0.0,0.00015422386793917273
11104.130789025774,-5310.587768899532,5793.543020126242
28997.91318009553,-5656.089133479583,23341.824046615948
41462.15051440934,-5246.823279626684,36215.32723478266
47396.09921260804,-5113.03003203062,42283.06918057742
52212.26813430233,-4893.486518043781,47318.78161625855
58299.62168476349,-4865.178359535396,53434.443325228094
70421.54379130778,-6840.6750201042005,63580.868771203575
86579.68278064324,-8147.04215431288,78432.64062633037
82051.97546039149,-8242.66353530382,73809.31192508768
65197.89711658861,-6170.079744969595,59027.817371619014
43040.993801590645,-5439.765996754231,37601.22780483641
36362.13787207552,-5777.378671290273,30584.759200785244
31019.174136461523,-6057.283020531384,24961.89111593014
8140.380478009624,-6911.798844680671,1228.581633328953
0.00012164820993119328,0.0,0.00012164820993119328
0.0001392546713422667,0.0,0.0001392546713422667
0.0001399806421371073,0.0,0.0001399806421371073
0.00013790217170765208,0.0,0.00013790217170765208
6321.659018446988,-5689.492995434576,632.1660230124116
32480.267017803762,-5934.721153982948,26545.545863820815
77965.78134643656,-8229.33733185339,69736.44401458318
133335.93519544072,-9066.14071780019,124269.79447764053
177013.39544172102,-8604.8722980488,168408.5231436722
197865.97262401742,-8373.504302035302,189492.46832198213
208406.11078935032,-8054.21652017751,200351.8942691728
207658.4223666439,-8144.132789740521,199514.2895769034
205956.91734762394,-8277.743984783125,197679.1733628408
206651.81562410813,-8273.597772628425,198378.2178514797
209044.86635871298,-8122.434293522081,200922.4320651909
210697.7214483838,-7994.98549473416,202702.73595364962
210045.60198017533,-7982.590336853562,202063.01164332178
241973.01212001801,-10878.436657672732,231094.5754623453
250780.90496223496,-11212.146279850884,239568.75868238407
234836.56422896215,-10123.363643966299,224713.20058499585
213172.86381224365,-7493.155984810181,205679.70782743348
204577.64046626305,-8493.53703250368,196084.10343375936
183858.6728829066,-8821.346444829129,175037.32643807746
139463.34979803843,-8494.417616814895,130968.93218122353
115521.73229163488,-8709.878625908774,106811.8536657261
98878.5568364495,-7115.350297502204,91763.2065389473
95725.87369272998,-7165.470690499065,88560.40300223092
95735.77562817065,-7208.486664631137,88527.28896353951
93660.99487682112,-7425.913088983595,86235.08178783752
92125.60961881932,-7648.905432041502,84476.70418677782
128665.6525888318,-8717.71382005113,119947.93876878067
172224.0006536211,-8139.808190146159,164084.19246347493
209235.66705669672,-9790.85213474074,199444.814921956
229060.19400216182,-11938.64655753812,217121.5474446237
261686.47089294932,-13874.54307320231,247811.927819747
293513.2594279056,-22357.319832103432,271155.93959580216
310347.20332734217,-28967.00254963987,281380.2007777023
327229.2625958129,-39639.255736890336,287590.00685892254
328584.56795951363,-42306.12870804395,286278.4392514697
329402.9722359759,-31913.094256120923,297489.877979855
325029.84098604956,-29622.190907037264,295407.65007901227
337935.6968465653,-32401.73413453187,305533.9627120334
302877.95573207707,-28657.832622902028,274220.12310917507
248489.7953259627,-17801.044455949297,230688.7508700134
