Metrics,Values
Total Revenue [M€],15.385963847848767
Total Curtailment [GWh],1520.5417633759155
Wind at Zero-Price [GWh],2251.727311702081
Wind at Positive Price [GWh],834.1962750629996
Total Congestion Rent [M€],141.54711185601636
Total Day-Ahead Cost [M€],715.07035323042
Total Redispatch Cost [M€],12.74797161027496
