Hour,Capacity Calculation [MWh],Capacity Allocation [MWh],Total volume risk [MWh],λ OBZ [€/MWh],λ zone 1 [€/MWh],λ zone 2 [€/MWh],λ zone 3 [€/MWh],Curtailment OWF 119 (z1) [MWh],Curtailment OWF 124 (z2) [MWh],Curtailment OWF 120 (z3) [MWh]
x46,0.0,2103.638030895778,2103.638030895778,-1e-08,66.57,8.85,-1e-08,1034.6699999999998,34.29803089577797,1034.6699999999998
x47,0.0,1007.228030895778,1007.228030895778,-1e-08,66.57,8.85,-1e-08,0.0,3.428030895778079,1003.8
x48,0.0,1936.0280298957782,1936.0280298957782,-1e-08,48.53,8.85,-1e-08,0.0,959.3880303957782,976.6399995
x49,0.0,1481.2068550831216,1481.2068550831216,-1e-08,48.19,8.85,-1e-08,540.7268545831216,0.0,940.4800005
x50,0.0,1340.0995448266253,1340.0995448266253,-1e-08,48.19,8.85,-1e-08,414.4045448266252,0.0,925.695
x51,0.0,1586.4769653563408,1586.4769653563408,-1e-08,48.19,0.1835280261417324,-1e-08,636.9019653563407,0.0,949.575
x52,0.0,1646.5432099342015,1646.5432099342015,-1e-08,48.19,0.1835280261417295,-1e-08,682.3532104342016,0.0,964.1899995
x53,0.0,1971.12,1971.12,-1e-08,48.19,0.1835280261417324,-1e-08,985.56,0.0,985.56
x54,0.0,1872.5212184659147,1872.5212184659147,-1e-08,48.19,0.1835280261417295,-1e-08,848.3762189659146,0.0,1024.1449995
x55,0.0,1915.7727262947092,1915.7727262947092,-1e-08,48.19,8.85,-1e-08,847.3946963989308,34.00303039577818,1034.3749995
x56,0.0,1974.260001,1974.260001,-1e-08,48.53,8.85,-1e-08,987.1300005,0.0,987.1300005
x57,0.0,2304.4716785229716,2304.4716785229716,-1e-08,65.64,8.85,-1e-08,547.0436476271939,870.0880308957779,887.3399999999999
x58,0.0,1952.9035188741027,1952.9035188741027,-1e-08,65.64,8.85,-1e-08,355.49548797832426,790.0780308957782,807.33
x59,0.0,1700.414758007917,1700.414758007917,-1e-08,65.64,8.85,-1e-08,202.12672711213892,740.518030895778,757.77
x60,0.0,1461.4415324274335,1461.4415324274335,-1e-08,65.64,8.85,-1e-08,76.35350053165541,683.918031395778,701.1700005
x61,0.0,1002.5699396719025,1002.5699396719025,-1e-08,65.64,8.85,-1e-08,0.0,441.6049391719025,560.9650005
x62,0.0,643.7181637125593,643.7181637125593,-1e-08,65.64,8.85,-1e-08,201.87816371255929,0.0,441.84
x63,0.0,419.9749995,419.9749995,-1e-08,48.53,8.85,-1e-08,0.0,0.0,419.9749995
x64,0.0,338.051351607906,338.051351607906,-1e-08,65.64,8.85,-1e-08,338.051351607906,0.0,0.0
x65,0.0,1179.4253984787251,1179.4253984787251,-1e-08,65.64,8.85,-1e-08,0.0,559.2353984787253,620.1899999999999
x66,0.0,646.4630313957781,646.4630313957781,-1e-08,66.57,8.85,-1e-08,0.0,646.4630313957781,0.0
x67,0.0,707.1380313957781,707.1380313957781,-1e-08,65.64,8.85,-1e-08,0.0,707.1380313957781,0.0
x68,0.0,784.5830313957782,784.5830313957782,-1e-08,65.64,8.85,-1e-08,0.0,784.5830313957782,0.0
x69,0.0,2267.2687706004385,2267.2687706004385,-1e-08,48.53,8.85,-1e-08,562.8207397046606,843.5980308957779,860.8499999999999
x70,0.0,1477.8127031288852,1477.8127031288852,-1e-08,48.53,8.85,-1e-08,555.8977031288853,0.0,921.915
x71,0.0,1514.424959302007,1514.424959302007,-1e-08,48.53,8.85,-1e-08,581.479959802007,0.0,932.9449995
x72,0.0,1869.258031895778,1869.258031895778,-1e-08,48.19,8.85,-1e-08,0.0,926.003031395778,943.2550005
x73,0.0,1481.8210160405,1481.8210160405,-1e-08,48.19,8.85,-1e-08,566.0710160404999,0.0,915.75
x74,0.0,2257.897250607709,2257.897250607709,-1e-08,48.19,8.85,-1e-08,548.8692187119307,845.8880313957781,863.1400005
