Hour,Capacity Calculation [MWh],Capacity Allocation [MWh],Total volume risk [MWh],λ OBZ [€/MWh],λ zone 1 [€/MWh],λ zone 2 [€/MWh],λ zone 3 [€/MWh],Curtailment OWF 119 (z1) [MWh],Curtailment OWF 124 (z2) [MWh],Curtailment OWF 120 (z3) [MWh]
x238,557.7976789985146,1928.1623200014856,2485.959999,-1e-08,76.86,8.85,-1e-08,1242.9799995,0.0,1242.9799995
x239,551.5576819985149,1888.7508258985476,2440.3085078970626,-1e-08,66.57,8.85,-1e-08,1199.4085073970623,0.0,1240.9000005
x240,559.7626804985139,1927.507319501486,2487.27,-1e-08,65.64,8.85,-1e-08,1243.635,0.0,1243.635
x241,561.1426819985145,1927.0473190014854,2488.190001,-1e-08,48.19,0.1835280261417324,-1e-08,1244.0950005,0.0,1244.0950005
x242,533.4226819985147,2170.7703503972634,2704.193032395778,-1e-08,48.19,-1e-08,-1e-08,1234.8550005,234.48303139577808,1234.8550005
x243,540.9226789985141,2170.7703503972634,2711.6930293957776,-1e-08,48.19,-1e-08,-1e-08,1237.3549994999998,236.983030395778,1237.3549994999998
x244,560.5726804985143,2170.770350397264,2731.343030895778,-1e-08,48.19,-1e-08,-1e-08,1243.905,243.5330308957781,1243.905
x245,579.0226804985145,1921.0873195014856,2500.11,-1e-08,48.19,-1e-08,-1e-08,1250.055,0.0,1250.055
x246,590.7226804985144,1917.1873195014855,2507.91,-1e-08,48.19,-1e-08,-1e-08,1253.955,0.0,1253.955
x247,598.8226804985147,1914.4873195014852,2513.31,-1e-08,65.64,-1e-08,-1e-08,1256.655,0.0,1256.655
x248,608.122681998514,1911.387319001486,2519.510001,-1e-08,76.86,0.2927155919249316,-1e-08,1259.7550005,0.0,1259.7550005
x249,610.8226819985143,2170.7703503972634,2781.5930323957778,-1e-08,76.86,0.2927155919249216,-1e-08,1260.6550005,260.28303139577804,1260.6550005
x250,611.5726789985147,1910.2373200014854,2521.809999,-1e-08,76.86,-1e-08,-1e-08,1260.9049995,0.0,1260.9049995
x251,619.3726819985145,2170.770350397264,2790.1430323957784,-1e-08,76.86,-1e-08,-1e-08,1263.5050005,263.1330313957782,1263.5050005
x252,112.24464960273644,3153.890350397264,3266.135,-1e-08,76.86,-1e-08,-1e-08,1261.005,744.125,1261.005
x253,603.3226804985147,2170.7703503972634,2774.093030895778,-1e-08,76.86,-1e-08,-1e-08,1258.155,257.7830308957781,1258.155
x254,364.61731868130573,2211.6698454349935,2576.287164116299,-1e-08,76.86,-1e-08,-1e-08,1253.1049995,70.07716511629928,1253.1049995
x255,562.0726789985147,1926.7373200014854,2488.809999,-1e-08,76.86,-1e-08,-1e-08,1244.4049995,0.0,1244.4049995
x256,533.872681998514,1936.137319001486,2470.010001,-1e-08,78.52,0.2990375786427535,-1e-08,1235.0050005,0.0,1235.0050005
x257,517.8226804985147,1941.4873195014852,2459.31,-1e-08,78.52,8.85,-1e-08,1229.655,0.0,1229.655
x258,522.7726804985145,1939.8373195014856,2462.61,-1e-08,78.52,8.85,-1e-08,1231.305,0.0,1231.305
x259,531.4726789985148,1936.9373200014852,2468.409999,-1e-08,78.52,8.85,-1e-08,1234.2049995,0.0,1234.2049995
x260,528.0226819985141,1888.3859355158806,2416.408617514395,-1e-08,78.52,0.29903757864274,-1e-08,1183.3536170143948,0.0,1233.0550005
x261,522.3226804985147,2170.7703503972634,2693.093030895778,-1e-08,76.86,0.2927155919249316,-1e-08,1231.155,230.783030895778,1231.155
x262,525.7726819985146,1938.8373190014854,2464.610001,-1e-08,76.86,0.2927155919249216,-1e-08,1232.3050005,0.0,1232.3050005
x263,523.0726819985143,2170.7703503972634,2693.8430323957778,-1e-08,66.57,-1e-08,-1e-08,1231.4050005,231.03303139577804,1231.4050005
x264,515.872681998514,2170.7703503972643,2686.6430323957784,-1e-08,48.53,-1e-08,-1e-08,1229.0050005,228.63303139577815,1229.0050005
x265,367.73518802302124,2199.209196236661,2566.944384259682,-1e-08,48.19,-1e-08,-1e-08,1226.5249995,113.89438525968194,1226.5249995
x266,266.57183119612546,2289.857556063557,2556.4293872596822,-1e-08,48.19,-1e-08,-1e-08,1223.0200005000002,110.38938625968215,1223.0200005000002
x267,242.41822285425042,2326.2361614054316,2568.654384259682,-1e-08,48.19,-1e-08,-1e-08,1227.0949995,114.4643852596821,1227.0949995
x268,268.2178832173763,2317.821504042306,2586.0393872596824,-1e-08,48.19,-1e-08,-1e-08,1232.8900005,120.25938625968206,1232.8900005
x269,307.3838238475382,2300.2105634121435,2607.5943872596818,-1e-08,48.19,-1e-08,-1e-08,1240.0750005,127.444386259682,1240.0750005
x270,402.17012611874407,2240.4642581409375,2642.6343842596816,-1e-08,48.19,-1e-08,-1e-08,1251.7549995,139.12438525968196,1251.7549995
x271,610.2226789985148,1910.6873200014852,2520.909999,-1e-08,65.64,-1e-08,-1e-08,1260.4549995,0.0,1260.4549995
x272,625.8226804985143,1905.4873195014857,2531.31,-1e-08,66.57,-1e-08,-1e-08,1265.655,0.0,1265.655
x273,638.1226789985144,1901.3873200014855,2539.509999,-1e-08,66.57,-1e-08,-1e-08,1269.7549995,0.0,1269.7549995
x274,648.022678998514,1898.0873200014858,2546.109999,-1e-08,66.57,-1e-08,-1e-08,1273.0549995,0.0,1273.0549995
x275,655.8226819985143,1893.8266120221397,2549.649294020654,-1e-08,66.57,-1e-08,-1e-08,1273.994293520654,0.0,1275.6550005
x276,660.3226819985139,1893.987319001486,2554.310001,-1e-08,65.64,-1e-08,-1e-08,1277.1550005,0.0,1277.1550005
x277,660.0226804985141,1894.0873195014856,2554.1099999999997,-1e-08,65.64,-1e-08,-1e-08,1277.0549999999998,0.0,1277.0549999999998
x278,650.4226819985147,1897.2873190014852,2547.710001,-1e-08,66.57,-1e-08,-1e-08,1273.8550005,0.0,1273.8550005
x279,637.6726789985146,1901.5373200014856,2539.209999,-1e-08,66.57,-1e-08,-1e-08,1269.6049995,0.0,1269.6049995
x280,622.372678998514,1906.637320001486,2529.009999,-1e-08,66.57,-1e-08,-1e-08,1264.5049995,0.0,1264.5049995
x281,580.522678998514,2170.770350397264,2751.293029395778,-1e-08,66.57,-1e-08,-1e-08,1250.5549995,250.183030395778,1250.5549995
x282,541.6726804985146,2170.7703503972634,2712.443030895778,-1e-08,76.86,0.2927155919249316,-1e-08,1237.605,237.23303089577803,1237.605
x283,518.4226789985141,1941.2873200014856,2459.7099989999997,-1e-08,76.86,0.2927155919249216,-1e-08,1229.8549994999998,0.0,1229.8549994999998
x284,499.8226804985143,2170.770350397264,2670.593030895778,-1e-08,66.57,0.2535268911258725,-1e-08,1223.655,223.283030895778,1223.655
x285,495.3526819985141,2170.770350397264,2666.123032395778,-1e-08,66.57,-1e-08,-1e-08,1222.1650005,221.79303139577803,1222.1650005
x286,497.9776804985145,2170.7703503972634,2668.748030895778,-1e-08,65.64,-1e-08,-1e-08,1223.04,222.6680308957781,1223.04
x287,405.33767899851455,2170.7703503972634,2576.108029395778,-1e-08,65.64,-1e-08,-1e-08,1192.1599995,191.78803039577804,1192.1599995
x288,338.52768199851425,2170.770350397264,2509.298032395778,-1e-08,48.19,-1e-08,-1e-08,1169.8900005,169.51803139577817,1169.8900005
x289,71.7346485826397,2271.5447371770424,2343.279385759682,-1e-08,48.19,-1e-08,-1e-08,1151.97,39.339385759682045,1151.97
x290,0.0,2325.804387259682,2325.804387259682,-1e-08,47.42,-1e-08,-1e-08,1146.1450005,33.51438625968194,1146.1450005
x291,59.86683884358217,2366.9775469161,2426.844385759682,-1e-08,47.42,-1e-08,-1e-08,1179.825,67.19438575968206,1179.825
x292,284.2568076774928,2349.362578082189,2633.619385759682,-1e-08,48.19,-1e-08,-1e-08,1248.75,136.11938575968202,1248.75
x293,377.3229831514245,2301.8964011082576,2679.219384259682,-1e-08,48.19,-1e-08,-1e-08,1263.9499995,151.3193852596819,1263.9499995
x294,410.56205341880286,2239.317330840879,2649.879384259682,-1e-08,48.19,-1e-08,-1e-08,1254.1699995,141.53938525968215,1254.1699995
x295,507.30767899851435,1944.9923200014855,2452.299999,-1e-08,65.64,-1e-08,-1e-08,1226.1499995,0.0,1226.1499995
x296,370.7176804985138,2170.770350397264,2541.4880308957777,-1e-08,66.57,-1e-08,-1e-08,1180.62,180.248030895778,1180.62
x297,228.8026789985147,2170.7703503972634,2399.573029395778,-1e-08,66.57,-1e-08,-1e-08,1133.3149995,132.943030395778,1133.3149995
x298,0.0,2102.630001,2102.630001,-1e-08,66.57,-1e-08,-1e-08,1051.3150005,0.0,1051.3150005
x299,0.0,1907.8477250686428,1907.8477250686428,-1e-08,66.57,-1e-08,-1e-08,935.9527250686428,0.0,971.895
x300,0.0,1764.6149520093359,1764.6149520093359,-1e-08,66.57,-1e-08,-1e-08,843.1049520093359,0.0,921.51
x301,0.0,1676.7869018574202,1676.7869018574202,-1e-08,66.57,-1e-08,-1e-08,770.3769023574202,0.0,906.4099995
x302,0.0,1674.479970309003,1674.479970309003,-1e-08,66.57,-1e-08,-1e-08,756.014970309003,0.0,918.465
x303,0.0,1679.8016757969067,1679.8016757969067,-1e-08,66.57,-1e-08,-1e-08,745.2716757969067,0.0,934.53
x304,0.0,1665.134560253317,1665.134560253317,-1e-08,66.57,-1e-08,-1e-08,746.2545597533169,0.0,918.8800005
x305,0.0,1207.3157814789952,1207.3157814789952,-1e-08,66.57,0.2535268911258472,-1e-08,347.7907809789954,0.0,859.5250004999999
x306,0.0,1228.917083969274,1228.917083969274,-1e-08,76.86,8.85,-1e-08,348.18208346927395,0.0,880.7350005000001
x307,0.0,1548.051388597451,1548.051388597451,-1e-08,78.52,8.85,-1e-08,563.326389097451,0.0,984.7249995
x308,147.5926819985143,1911.0945625425888,2058.687244541103,-1e-08,76.86,8.85,-1e-08,846.569212645325,105.87303139577818,1106.2450005
x309,298.08768049851506,1823.740556272693,2121.828236771208,-1e-08,66.57,8.85,-1e-08,965.4182367712078,0.0,1156.41
x310,206.54268199851504,1933.0108325086821,2139.553514507197,-1e-08,66.57,8.85,-1e-08,888.1354826114186,125.52303139577828,1125.8950005000002
x311,42.65268199851471,1838.986120734503,1881.6388027330177,-1e-08,65.64,8.85,-1e-08,739.4807708372396,70.89303139577817,1071.2650005
x312,0.0,2015.353740709982,2015.353740709982,-1e-08,48.53,0.1848228908911622,-1e-08,957.505710814204,28.73803039577797,1029.1099995
x313,0.0,1892.8475542066813,1892.8475542066813,-1e-08,48.19,-1e-08,-1e-08,895.3825537066812,0.0,997.4650005
x314,0.0,1791.4349151104516,1791.4349151104516,-1e-08,48.19,-1e-08,-1e-08,820.9499151104517,0.0,970.485
x315,0.0,1937.5589653023078,1937.5589653023078,-1e-08,48.19,-1e-08,-1e-08,938.7739648023078,0.0,998.7850005
x316,49.82268049851427,2170.770350397264,2220.593030895778,-1e-08,47.42,-1e-08,-1e-08,1073.655,73.2830308957781,1073.655
x317,0.0,2304.279384259682,2304.279384259682,-1e-08,48.19,-1e-08,-1e-08,1138.9699995,26.339385259682103,1138.9699995
x318,409.8676804985148,1977.4723195014853,2387.34,-1e-08,47.42,-1e-08,-1e-08,1193.67,0.0,1193.67
x319,453.8626819985143,1962.8073190014857,2416.670001,-1e-08,48.19,-1e-08,-1e-08,1208.3350005,0.0,1208.3350005
x320,407.6926819985147,1978.1973190014855,2385.890001,-1e-08,48.19,-1e-08,-1e-08,1192.9450005,0.0,1192.9450005
x321,255.26267899851473,2029.0073200014854,2284.269999,-1e-08,48.19,-1e-08,-1e-08,1142.1349995,0.0,1142.1349995
x322,83.30268049851475,2170.7703503972634,2254.073030895778,-1e-08,48.53,-1e-08,-1e-08,1084.815,84.44303089577818,1084.815
x323,0.0,2141.876441612717,2141.876441612717,-1e-08,48.53,-1e-08,-1e-08,1040.348411716939,50.578030395778,1050.9499995
x324,0.0,2086.012400943938,2086.012400943938,-1e-08,48.53,-1e-08,-1e-08,1036.482400443938,0.0,1049.5300005
x325,0.0,2704.0700015,2704.0700015,-1e-08,48.53,-1e-08,-1e-08,1073.6500005,556.7700005000002,1073.6500005
x326,0.0,2752.055,2752.055,-1e-08,48.53,-1e-08,-1e-08,1089.645,572.7649999999999,1089.645
x327,0.0,2129.2912872690044,2129.2912872690044,-1e-08,48.53,-1e-08,-1e-08,1062.2299995,4.83128826900429,1062.2299995
x328,0.0,2038.220001,2038.220001,-1e-08,65.64,-1e-08,-1e-08,1019.1100005,0.0,1019.1100005
x329,0.0,1739.0550956652346,1739.0550956652346,-1e-08,65.64,8.85,-1e-08,667.2970647694565,35.69303089577818,1036.065
x330,66.8026789985147,1842.410537916705,1909.2132169152196,-1e-08,66.57,8.85,-1e-08,750.9551870194416,78.94303039577801,1079.3149995
x331,139.77768049851466,2170.7703503972634,2310.548030895778,-1e-08,66.57,8.85,-1e-08,1103.64,103.268030895778,1103.64
x332,105.5926789985142,1853.955715845273,1959.5483948437873,-1e-08,66.57,8.85,-1e-08,775.4303649480091,91.87303039577807,1092.2449995
x333,157.2076789985149,2170.7703503972634,2327.9780293957783,-1e-08,65.64,-1e-08,-1e-08,1109.4499995,109.07803039577824,1109.4499995
x334,274.56767899851457,2170.7703503972634,2445.338029395778,-1e-08,48.53,-1e-08,-1e-08,1148.5699995,148.19803039577812,1148.5699995
x335,383.01767899851484,2170.7703503972634,2553.7880293957783,-1e-08,48.53,-1e-08,-1e-08,1184.7199995,184.3480303957782,1184.7199995
x336,462.0376789985139,1960.082320001486,2422.119999,-1e-08,48.19,-1e-08,-1e-08,1211.0599995,0.0,1211.0599995
x337,265.78215201672356,2309.0372322429585,2574.819384259682,-1e-08,48.19,-1e-08,-1e-08,1229.1499995,116.51938525968194,1229.1499995
x338,544.4326789985143,3153.8903503972633,3698.3230293957777,-1e-08,47.42,-1e-08,-1e-08,1238.5249995,1221.2730303957778,1238.5249995
x339,33.15768199851482,2170.7703503972634,2203.9280323957782,-1e-08,47.42,-1e-08,-1e-08,1068.1000005,67.7280313957782,1068.1000005
x340,0.0,2111.348029395778,2111.348029395778,-1e-08,37.28,-1e-08,-1e-08,1037.2399995,36.86803039577819,1037.2399995
x341,0.0,3129.1950015,3129.1950015,-1e-08,37.28,-1e-08,-1e-08,1043.0650005,1043.0650005,1043.0650005
x342,0.0,3142.6349984999997,3142.6349984999997,-1e-08,37.28,-1e-08,-1e-08,1047.5449995,1047.5449995,1047.5449995
x343,664.837680498515,3153.890350397263,3818.728030895778,-1e-08,37.28,-1e-08,-1e-08,1278.66,1261.4080308957778,1278.66
x344,662.122681998514,1893.387319001486,2555.510001,-1e-08,37.28,-1e-08,-1e-08,1277.7550005,0.0,1277.7550005
x345,648.6226819985145,3153.890350397264,3802.5130323957783,-1e-08,37.28,-1e-08,-1e-08,1273.2550005,1256.0030313957782,1273.2550005
x346,606.0226804985141,3153.8903503972633,3759.9130308957774,-1e-08,47.42,-1e-08,-1e-08,1259.0549999999998,1241.8030308957775,1259.0549999999998
x347,438.75104931342776,2170.770350397264,2609.5213997106916,-1e-08,48.19,-1e-08,-1e-08,1235.805,137.9113997106915,1235.805
x348,394.54659625931754,2170.770350397264,2565.3169466565814,-1e-08,48.19,-1e-08,-1e-08,1214.9050005,135.50694565658182,1214.9050005
x349,256.22828340158367,2196.8330951684175,2453.061378570001,-1e-08,48.19,-1e-08,-1e-08,1203.855,45.35137857000109,1203.855
x350,402.77267899851404,2170.770350397264,2573.543029395778,-1e-08,48.19,-1e-08,-1e-08,1191.3049995,190.93303039577825,1191.3049995
x351,310.84527994552764,2170.770350397263,2481.6156303427906,-1e-08,48.19,-1e-08,-1e-08,1184.505,112.60563034279062,1184.505
x352,417.3226819985139,2170.7703503972643,2588.093032395778,-1e-08,48.19,-1e-08,-1e-08,1196.1550005,195.78303139577827,1196.1550005
x353,349.56196393319624,2212.222423326486,2561.7843872596823,-1e-08,48.19,-1e-08,-1e-08,1224.8050005,112.17438625968202,1224.8050005
x354,586.3726789985144,1918.6373200014855,2505.009999,-1e-08,48.53,-1e-08,-1e-08,1252.5049995,0.0,1252.5049995
x355,619.3726819985145,1907.6373190014856,2527.010001,-1e-08,65.64,-1e-08,-1e-08,1263.5050005,0.0,1263.5050005
x356,613.372678998514,1909.637320001486,2523.009999,-1e-08,65.64,-1e-08,-1e-08,1261.5049995,0.0,1261.5049995
x357,605.272678998514,1912.3373200014858,2517.609999,-1e-08,48.53,-1e-08,-1e-08,1258.8049995,0.0,1258.8049995
x358,616.6726819985151,1908.5373190014852,2525.2100010000004,-1e-08,48.53,-1e-08,-1e-08,1262.6050005000002,0.0,1262.6050005000002
x359,634.9726789985148,1902.4373200014852,2537.409999,-1e-08,65.64,-1e-08,-1e-08,1268.7049995,0.0,1268.7049995
x360,642.3226819985139,1899.987319001486,2542.310001,-1e-08,48.53,-1e-08,-1e-08,1271.1550005,0.0,1271.1550005
x361,637.8226819985143,1901.4873190014855,2539.310001,-1e-08,48.19,-1e-08,-1e-08,1269.6550005,0.0,1269.6550005
x362,624.7726819985146,1905.8373190014854,2530.610001,-1e-08,48.19,-1e-08,-1e-08,1265.3050005,0.0,1265.3050005
x363,605.1226804985149,1912.3873195014853,2517.51,-1e-08,48.19,-1e-08,-1e-08,1258.755,0.0,1258.755
x364,573.4726819985144,1922.9373190014858,2496.410001,-1e-08,48.19,-1e-08,-1e-08,1248.2050005,0.0,1248.2050005
x365,516.3226819985143,1941.9873190014855,2458.310001,-1e-08,48.53,-1e-08,-1e-08,1229.1550005,0.0,1229.1550005
x366,438.1276804985141,1968.0523195014857,2406.18,-1e-08,48.53,0.1848228908911671,-1e-08,1203.09,0.0,1203.09
x367,263.4976789985144,1943.5776055280485,2207.075284526563,-1e-08,76.86,8.85,-1e-08,917.6872546307852,144.50803039577806,1144.8799995
x368,111.62267899851395,373.81733550204547,485.4400145005594,-1e-08,78.52,8.85,-1e-08,0.0,93.88303039577806,391.55698410478135
x369,0.0,272.35029199331905,272.35029199331905,-1e-08,79.66,8.85,-1e-08,0.0,44.37803089577813,227.9722610975409
x370,0.0,79.74905732625939,79.74905732625939,-1e-08,78.52,8.85,-1e-08,0.0,0.0,79.74905732625939
x371,0.0,824.4483864365221,824.4483864365221,-0.0,78.52,0.2990375786427535,-0.0,824.4483864365221,0.0,0.0
x372,0.0,692.1693391275576,692.1693391275576,-0.0,78.52,0.29903757864274,-0.0,692.1693391275576,0.0,0.0
x374,0.0,518.2857019427595,518.2857019427595,-1e-08,78.52,-1e-08,-0.0,518.2857019427595,0.0,0.0
x395,0.0,146.04925252812882,146.04925252812882,-1e-08,78.52,-1e-08,-0.0,0.0,0.0,146.04925252812882
x398,0.0,1471.8500000000004,1471.8500000000004,-1e-08,78.52,-1e-08,-0.0,994.365,0.0,477.4850000000004
x399,0.0,1579.8799999999994,1579.8799999999994,-1e-08,78.52,-1e-08,-0.0,1048.38,0.0,531.4999999999993
x400,49.29767899851413,870.5600457313504,919.8577247298646,-0.0,78.52,0.2990375786427465,-0.0,919.8577247298646,0.0,0.0
x401,77.81268049851451,771.264237318033,849.0769178165475,-0.0,78.52,8.85,-0.0,766.4638869207693,82.61303089577825,0.0
x402,64.5226819985146,340.16020662554376,404.68288862405836,-1e-08,79.66,8.85,-0.0,0.0,78.18303139577813,326.49985722828023
x403,28.852680498514474,760.3845808422557,789.2372613407701,-0.0,79.66,8.85,-0.0,722.9442304449921,66.29303089577809,0.0
x404,0.0,262.6572014757627,262.6572014757627,-1e-08,79.66,8.85,-0.0,0.0,39.28803139577815,223.3691700799845
x405,0.0,47.41794988921583,47.41794988921583,-1e-08,79.66,8.85,-0.0,47.41794988921583,0.0,0.0
x406,0.0,903.288030395778,903.288030395778,-0.0,78.52,8.85,-0.0,0.0,903.288030395778,0.0
x407,0.0,844.183030895778,844.183030895778,-0.0,76.86,8.85,-0.0,0.0,844.183030895778,0.0
x409,0.0,678.0680313957781,678.0680313957781,-0.0,66.57,8.85,-0.0,0.0,678.0680313957781,0.0
x410,0.0,616.523031395778,616.523031395778,-0.0,65.64,8.85,-0.0,0.0,616.523031395778,0.0
x411,0.0,516.7003039268302,516.7003039268302,-0.0,65.64,8.85,-0.0,0.0,516.7003039268302,0.0
x412,0.0,429.1809777422145,429.1809777422145,-0.0,65.64,8.85,-0.0,0.0,429.1809777422145,0.0
x413,0.0,377.3098680110583,377.3098680110583,-0.0,65.64,8.85,-0.0,0.0,377.3098680110583,0.0
x414,0.0,342.89374378153536,342.89374378153536,-0.0,66.57,8.85,-0.0,342.89374378153536,0.0,0.0
x550,0.0,222.2727459945253,222.2727459945253,-1e-08,76.86,8.85,-0.0,0.0,24.09803089577815,198.17471509874716
x551,105.59267899851466,798.9879433858157,904.5806223843304,-0.0,76.86,8.85,-0.0,812.7075919885523,91.87303039577807,0.0
x552,242.88767899851337,680.8445204337198,923.7321994322332,-0.0,65.64,8.85,-0.0,923.7321994322332,0.0,0.0
x553,296.2576789985146,583.7733872102608,880.0310662087754,-1e-08,48.53,0.1848228908911622,-0.0,880.0310662087754,0.0,0.0
x554,323.93267899851435,819.2638581170313,1143.1965371155457,-1e-08,48.53,0.1848228908911671,-1e-08,495.0515376155455,0.0,648.1449995000003
x555,321.6076819985142,990.2273087092558,1311.83499070777,-1e-08,48.19,-1e-08,-1e-08,664.4649902077703,0.0,647.3700004999996
x556,240.8026804985143,1031.263149120297,1272.0658296188112,-1e-08,48.19,-1e-08,-1e-08,651.6308296188113,0.0,620.435
x557,0.0,730.1539229366679,730.1539229366679,-1e-08,48.53,-1e-08,-1e-08,212.623922436668,0.0,517.5300004999999
x558,0.0,608.8537854194192,608.8537854194192,-1e-08,48.53,0.1848228908911622,-1e-08,608.8537854194192,0.0,0.0
x559,0.0,202.2341312246288,202.2341312246288,-0.0,66.57,8.85,-0.0,202.2341312246288,0.0,0.0
x560,0.0,471.16553218704377,471.16553218704377,-0.0,78.52,8.85,-0.0,471.16553218704377,0.0,0.0
x561,0.0,581.6237388680102,581.6237388680102,-0.0,78.52,8.85,-0.0,581.6237388680102,0.0,0.0
x562,0.0,767.145166952609,767.145166952609,-0.0,76.86,0.2927155919249216,-0.0,767.145166952609,0.0,0.0
x563,0.0,684.1735407176657,684.1735407176657,-1e-08,76.86,0.2927155919249316,-0.0,684.1735407176657,0.0,0.0
x564,15.937680498514055,955.7770079108841,971.7146884093981,-1e-08,78.52,-1e-08,-0.0,426.2346884093981,0.0,545.48
x565,0.0,916.4809813615848,916.4809813615848,-1e-08,78.52,-1e-08,-0.0,378.5109818615851,0.0,537.9699994999996
x566,0.0,753.7084558390732,753.7084558390732,-1e-08,78.52,-1.6300864901229846e-09,-0.0,223.5834563390733,0.0,530.1249994999998
x567,0.0,720.9042875863189,720.9042875863189,-1e-08,78.52,0.29903757864274,0.3572767865760424,182.86428758631848,0.0,538.0400000000004
x568,0.0,287.0253518583263,287.0253518583263,-1e-08,78.52,8.85,-0.0,287.0253518583263,0.0,0.0
x569,0.0,143.43291159018088,143.43291159018088,-1e-08,78.52,8.85,-0.0,0.0,10.733030895777915,132.69988069440296
x576,0.0,765.8580303957782,765.8580303957782,-0.0,66.57,8.85,-0.0,0.0,765.8580303957782,0.0
x577,0.0,727.1980308957781,727.1980308957781,-0.0,65.64,8.85,-0.0,0.0,727.1980308957781,0.0
x578,0.0,680.7230313957781,680.7230313957781,-0.0,65.64,8.85,-0.0,0.0,680.7230313957781,0.0
x579,0.0,629.6130303957781,629.6130303957781,-0.0,65.64,8.85,-0.0,0.0,629.6130303957781,0.0
x580,0.0,484.00300428821777,484.00300428821777,-0.0,65.64,8.85,-0.0,0.0,484.00300428821777,0.0
x581,0.0,329.3837249588803,329.3837249588803,-1e-08,65.64,8.85,-0.0,329.3837249588803,0.0,0.0
x606,0.0,764.9030313957782,764.9030313957782,-0.0,65.64,8.85,-0.0,0.0,764.9030313957782,0.0
x609,0.0,856.148031395778,856.148031395778,-0.0,78.52,8.85,-0.0,0.0,856.148031395778,0.0
x610,0.0,858.6080313957781,858.6080313957781,-0.0,78.52,8.85,-0.0,0.0,858.6080313957781,0.0
x611,0.0,854.2280313957782,854.2280313957782,-0.0,76.86,8.85,-0.0,0.0,854.2280313957782,0.0
x612,0.0,928.713030395778,928.713030395778,-0.0,76.86,8.85,-0.0,0.0,928.713030395778,0.0
x613,0.0,969.388030895778,969.388030895778,-0.0,76.86,8.85,-0.0,0.0,969.388030895778,0.0
x614,16.89767899851404,832.9557654772193,849.8534444757333,-1e-08,76.86,8.85,-1e-08,787.5454140799551,62.308030395778246,0.0
x615,127.70268199851444,404.53924965094404,532.2419316494585,-1e-08,76.86,8.85,-1e-08,0.0,99.24303139577808,432.9989002536804
x616,108.14268049851398,393.67895515881753,501.8216356573315,-1e-08,78.52,8.85,-1e-08,0.0,92.72303089577817,409.09860476155336
x617,100.91267899851437,792.427182639451,893.3398616379653,-1e-08,76.86,8.85,-1e-08,803.0268312421872,90.31303039577811,0.0
x618,144.3976819985146,789.0859976043376,933.4836796028522,-1e-08,78.52,8.85,-1e-08,828.6756482070741,104.80803139577812,0.0
x619,121.38767899851473,780.4166366206874,901.8043156192022,-1e-08,78.52,8.85,-1e-08,804.666285223424,97.13803039577816,0.0
x620,102.41268199851402,384.4819490123324,486.8946310108464,-1e-08,78.52,8.85,-1e-08,0.0,90.81303139577824,396.08159961506817
x621,113.16768199851458,829.5330283167964,942.700710315311,-1e-08,76.86,8.85,-1e-08,848.3026789195329,94.39803139577803,0.0
x622,59.422678998514584,400.6256300141416,460.0483090126562,-1e-08,76.86,8.85,-1e-08,0.0,76.4830303957782,383.565278616878
x623,0.0,821.8806243843303,821.8806243843303,-1e-08,66.57,8.85,-1e-08,771.3575929885523,50.52303139577805,0.0
x624,0.0,822.8742052220981,822.8742052220981,-1e-08,66.57,8.85,-1e-08,778.11617482632,44.758030395778064,0.0
x625,0.0,1845.3897291748885,1845.3897291748885,-1e-08,65.64,8.85,-1e-08,760.1416972791105,42.43803139577801,1042.8100005
x626,0.0,1718.1237460344655,1718.1237460344655,-1e-08,48.53,8.85,-1e-08,693.5857151386876,12.083030895778052,1012.455
x627,0.0,1558.139008294164,1558.139008294164,-1e-08,48.53,8.85,-1e-08,587.3040087941638,0.0,970.8349995
x628,0.0,1323.158821032685,1323.158821032685,-1e-08,48.53,8.85,-1e-08,410.0388205326849,0.0,913.1200005
x629,0.0,2107.1909053438458,2107.1909053438458,-1e-08,65.64,8.85,-1e-08,389.1828744480677,850.3780308957781,867.6300000000001
x630,0.0,1966.4732903135887,1966.4732903135887,-1e-08,65.64,8.85,-1e-08,324.5352604178105,812.3430303957781,829.5949995
x631,0.0,1939.8724927681892,1939.8724927681892,-1e-08,76.86,8.85,-1e-08,315.9944628724112,803.3130303957781,820.5649995
x632,0.0,809.8730313957782,809.8730313957782,-1e-08,78.52,8.85,-1e-08,0.0,809.8730313957782,0.0
x633,0.0,779.3680308957781,779.3680308957781,-1e-08,79.66,8.85,-1e-08,0.0,779.3680308957781,0.0
x634,0.0,728.468031395778,728.468031395778,-1e-08,78.52,8.85,-1e-08,0.0,728.468031395778,0.0
x636,0.0,481.5595658485788,481.5595658485788,-0.0,78.52,8.85,-0.0,0.0,481.5595658485788,0.0
x637,0.0,386.9214449964527,386.9214449964527,-0.0,78.52,8.85,-0.0,0.0,386.9214449964527,0.0
x638,0.0,265.1805482870109,265.1805482870109,-1e-08,78.52,8.85,-0.0,265.1805482870109,0.0,0.0
x639,0.0,143.78102575611524,143.78102575611524,-0.0,78.52,8.85,-0.0,143.78102575611524,0.0,0.0
x649,0.0,824.083030895778,824.083030895778,-0.0,65.64,8.85,-0.0,0.0,824.083030895778,0.0
x650,0.0,322.9634310738407,322.9634310738407,-0.0,48.53,8.85,-0.0,322.9634310738407,0.0,0.0
