Zone,Average Price,Std Deviation,Coefficient of Variation
1,56.25368902439084,13.099997277756755,0.23287356802638798
2,15.421760457099415,17.57001424357443,1.1393001656620898
3,12.974858146308174,17.716162723575856,1.365422459637199
OBZ,7.46692235138551,15.00859991164277,2.0100115155018154
