Metrics,Values
Number of Positive Hours,9.0
Number of Negative Hours,2.0
Positive Hours [MWh],8265.075003
Negative Hours [MWh],5361.7649985
Positive Effect [€],100991.85532426575
Negative Effect [€],46117.45641358215
Net Effect [€],54874.3989106836
