1,2,3,4,,
0.455,0.285,0.599,0.446136667,,
0.437,0.324,0.637,0.466243333,,
0.424,0.351,0.67,0.481443333,,
0.418,0.377,0.692,0.495396667,,
0.417,0.409,0.713,0.512936667,,
0.42,0.437,0.737,0.53127,,
0.434,0.469,0.761,0.55439,,
0.456,0.504,0.777,0.579203333,,
0.485,0.524,0.793,0.600706667,,
0.518,0.531,0.794,0.61412,,
0.552,0.547,0.788,0.628993333,,
0.589,0.579,0.78,0.649306667,,
0.619,0.609,0.751,0.659696667,,
0.635,0.621,0.705,0.653376667,,
0.627,0.596,0.628,0.617193333,,
0.611,0.546,0.569,0.575163333,,
0.639,0.552,0.559,0.583043333,,
0.689,0.576,0.522,0.595673333,,
0.691,0.5,0.451,0.547323333,,
0.648,0.384,0.378,0.470313333,,
0.574,0.261,0.326,0.386996667,,
0.52,0.185,0.333,0.346076667,,
0.508,0.147,0.351,0.335196667,,
0.502,0.111,0.353,0.32186,,
0.469,0.093,0.353,0.30488,,
0.427,0.095,0.364,0.295126667,,
0.386,0.106,0.382,0.291483333,,
0.354,0.124,0.414,0.29734,,
0.328,0.143,0.448,0.306283333,,
0.296,0.156,0.477,0.309586667,,
0.268,0.161,0.498,0.30925,,
0.24,0.158,0.518,0.30519,,
0.219,0.154,0.537,0.30316,,
0.202,0.147,0.551,0.300116667,,
0.189,0.132,0.562,0.29458,,
0.178,0.107,0.569,0.284813333,,
0.161,0.09,0.567,0.272723333,,
0.139,0.081,0.564,0.261523333,,
0.107,0.073,0.543,0.241146667,,
0.087,0.065,0.532,0.227783333,,
0.08,0.061,0.518,0.219613333,,
0.069,0.06,0.52,0.216656667,,
0.064,0.06,0.509,0.210833333,,
0.063,0.056,0.496,0.205086667,,
0.064,0.054,0.473,0.196833333,,
0.067,0.054,0.459,0.19324,,
0.081,0.06,0.436,0.192353333,,
0.102,0.062,0.411,0.19157,,
0.113,0.056,0.379,0.182963333,,
0.115,0.044,0.35,0.169663333,,
0.112,0.03,0.315,0.152346667,,
0.111,0.023,0.284,0.139286667,,
0.11,0.016,0.255,0.126986667,,
0.109,0.01,0.239,0.119063333,,
0.106,0.007,0.236,0.116206667,,
0.104,0.007,0.243,0.117956667,,
0.099,0.008,0.254,0.120453333,,
0.093,0.008,0.256,0.119143333,,
0.091,0.006,0.246,0.11423,,
0.091,0.003,0.227,0.107146667,,
0.096,0.002,0.2,0.099193333,,
0.098,0.001,0.17,0.089556667,,
0.093,0,0.14,0.077826667,,
0.096,0,0.123,0.073053333,,
0.106,0,0.122,0.07595,,
0.114,0,0.127,0.080416667,,
0.116,0,0.128,0.08139,,
0.116,0.002,0.128,0.081846667,,
0.12,0.006,0.125,0.08353,,
0.117,0.013,0.12,0.083363333,,
0.135,0.026,0.111,0.09062,,
0.179,0.046,0.097,0.107346667,,
0.206,0.069,0.081,0.11863,,
0.214,0.082,0.063,0.119863333,,
0.208,0.094,0.046,0.115916667,,
0.201,0.104,0.034,0.112746667,,
0.181,0.096,0.027,0.101333333,,
0.148,0.083,0.024,0.085,,
0.113,0.069,0.021,0.067903333,,
0.081,0.054,0.019,0.0511,,
0.057,0.038,0.016,0.03708,,
0.047,0.023,0.013,0.027916667,,
0.042,0.014,0.011,0.022203333,,
0.041,0.011,0.008,0.019983333,,
0.043,0.011,0.006,0.01993,,
0.046,0.011,0.004,0.020113333,,
0.039,0.009,0.003,0.01707,,
0.034,0.012,0.003,0.016436667,,
0.038,0.02,0.004,0.02078,,
0.036,0.017,0.004,0.01908,,
0.029,0.013,0.004,0.015346667,,
0.023,0.008,0.004,0.0117,,
0.017,0.006,0.004,0.009046667,,
0.014,0.007,0.004,0.008233333,,
0.018,0.011,0.007,0.011813333,,
0.02,0.016,0.012,0.016126667,,
0.02,0.021,0.02,0.020523333,,
0.02,0.026,0.029,0.025056667,,
0.021,0.028,0.037,0.028703333,,
0.021,0.025,0.036,0.027173333,,
0.022,0.021,0.034,0.02559,,
0.023,0.02,0.031,0.024733333,,
0.025,0.021,0.026,0.024063333,,
0.025,0.023,0.023,0.02365,,
0.026,0.024,0.019,0.022893333,,
0.025,0.024,0.017,0.021983333,,
0.024,0.02,0.017,0.020226667,,
0.023,0.015,0.017,0.01834,,
0.023,0.01,0.018,0.017043333,,
0.024,0.008,0.016,0.015703333,,
0.019,0.006,0.012,0.012356667,,
0.014,0.006,0.011,0.01038,,
0.016,0.008,0.01,0.01104,,
0.022,0.011,0.008,0.014016667,,
0.029,0.016,0.007,0.017406667,,
0.034,0.021,0.006,0.020276667,,
0.037,0.023,0.006,0.021623333,,
0.041,0.023,0.007,0.02345,,
0.057,0.035,0.012,0.034756667,,
0.08,0.054,0.021,0.051616667,,
0.099,0.071,0.031,0.067056667,,
0.12,0.082,0.04,0.080566667,,
0.141,0.087,0.045,0.090826667,,
0.167,0.09,0.044,0.100303333,,
0.195,0.088,0.038,0.10691,,
0.217,0.08,0.031,0.109456667,,
0.236,0.079,0.027,0.11396,,
0.255,0.084,0.026,0.121416667,,
0.277,0.095,0.028,0.133393333,,
0.304,0.115,0.033,0.150646667,,
0.334,0.144,0.041,0.173086667,,
0.367,0.183,0.049,0.199563333,,
0.405,0.231,0.057,0.231066667,,
0.434,0.281,0.058,0.257706667,,
0.444,0.323,0.056,0.27458,,
0.459,0.359,0.061,0.29296,,
0.502,0.418,0.074,0.331023333,,
0.56,0.499,0.088,0.382446667,,
0.598,0.556,0.097,0.41715,,
0.619,0.588,0.105,0.43751,,
0.627,0.609,0.109,0.448786667,,
0.642,0.638,0.135,0.47177,,
0.666,0.668,0.182,0.505443333,,
0.677,0.688,0.214,0.52631,,
0.668,0.694,0.225,0.528993333,,
0.657,0.69,0.225,0.52389,,
0.646,0.675,0.22,0.513323333,,
0.653,0.665,0.217,0.511396667,,
0.659,0.647,0.208,0.50485,,
0.657,0.626,0.193,0.49188,,
0.637,0.595,0.176,0.469576667,,
0.616,0.567,0.163,0.44851,,
0.587,0.533,0.151,0.423796667,,
0.535,0.486,0.137,0.386246667,,
0.49,0.44,0.125,0.35159,,
0.452,0.425,0.117,0.33119,,
0.426,0.416,0.112,0.317916667,,
0.399,0.407,0.098,0.301143333,,
0.361,0.373,0.07,0.26774,,
0.33,0.325,0.055,0.236566667,,
0.326,0.302,0.051,0.2262,,
0.325,0.296,0.047,0.22257,,
0.319,0.295,0.042,0.218686667,,
0.304,0.294,0.039,0.21207,,
0.275,0.287,0.039,0.20047,,
0.241,0.282,0.053,0.19202,,
0.219,0.299,0.081,0.19955,,
0.205,0.323,0.104,0.210723333,,
0.187,0.317,0.114,0.206426667,,
0.162,0.294,0.117,0.190973333,,
0.136,0.26,0.116,0.1706,,
0.117,0.235,0.115,0.155493333,,
0.097,0.205,0.116,0.139436667,,
0.084,0.173,0.12,0.125513333,,
0.073,0.15,0.127,0.11654,,
0.065,0.133,0.133,0.110476667,,
0.06,0.118,0.143,0.106943333,,
0.056,0.091,0.156,0.1011,,
0.054,0.068,0.168,0.096693333,,
0.052,0.052,0.179,0.09422,,
0.05,0.038,0.189,0.092266667,,
0.047,0.022,0.189,0.086023333,,
0.039,0.008,0.178,0.075086667,,
0.031,0.004,0.18,0.071923333,,
0.03,0.004,0.188,0.073733333,,
0.03,0.006,0.192,0.07614,,
0.032,0.012,0.197,0.080233333,,
0.037,0.017,0.207,0.08704,,
0.046,0.022,0.227,0.098206667,,
0.045,0.023,0.263,0.110493333,,
0.043,0.033,0.318,0.13129,,
0.058,0.039,0.342,0.146316667,,
0.067,0.033,0.335,0.144756667,,
0.07,0.021,0.311,0.133946667,,
0.072,0.009,0.282,0.120883333,,
0.071,0.003,0.264,0.112506667,,
0.071,0.006,0.241,0.10593,,
0.069,0.011,0.217,0.09909,,
0.071,0.015,0.203,0.09638,,
0.076,0.017,0.193,0.095283333,,
0.083,0.019,0.19,0.097366667,,
0.089,0.018,0.198,0.101613333,,
